AB,atom_A,atom_B,structure,volume_per_atom,form_en_per_atom,bandgap
SrLa,Sr,La,s2,45.21,0.70,0.00
HgYb,Hg,Yb,s2,30.44,-0.51,0.00
BeCa,Be,Ca,s2,26.31,0.72,0.00
TlHo,Tl,Ho,s2,30.14,-0.02,0.00
KTb,K,Tb,s2,32.58,-0.61,5.04
IPm,I,Pm,s2,32.07,-0.61,0.00
IRe,I,Re,s2,21.48,2.15,0.00
TcTm,Tc,Tm,s2,21.82,0.85,0.00
AsI,As,I,s2,29.34,0.53,0.00
LiF,Li,F,s2,8.44,-2.99,8.79
LiCl,Li,Cl,s2,17.09,-1.82,6.26
LiBr,Li,Br,s2,20.95,-1.55,4.91
LiI,Li,I,s2,27.30,-1.20,4.24
NaF,Na,F,s2,27.03,-1.52,4.10
NaCl,Na,Cl,s2,27.03,-1.50,4.10
NaBr,Na,Br,s2,27.03,-1.60,4.10
NaI,Na,I,s2,27.03,-1.66,4.10
KF,K,F,s2,32.58,-1.99,5.04
KCl,K,Cl,s2,32.58,-1.97,5.04
KBr,K,Br,s2,32.58,-2.07,5.04
KI,K,I,s2,32.58,-2.13,5.04
RbF,Rb,F,s2,37.62,-1.98,4.83
RbCl,Rb,Cl,s2,37.62,-1.96,4.83
RbBr,Rb,Br,s2,37.62,-2.06,4.83
RbI,Rb,I,s2,37.62,-2.12,4.83
CsF,Cs,F,s2,28.54,-2.66,5.27
CsCl,Cs,Cl,s2,44.30,-1.98,4.83
CsBr,Cs,Br,s2,50.54,-1.81,4.26
CsI,Cs,I,s2,60.74,-1.57,3.86
FCu,F,Cu,s2,12.08,-0.63,0.00
FAg,F,Ag,s2,15.82,-0.98,0.00
FAu,F,Au,s2,16.03,-0.20,0.00
ClCu,Cl,Cu,s2,16.99,-0.03,0.25
ClAg,Cl,Ag,s2,22.05,-0.43,0.92
ClAu,Cl,Au,s2,21.82,0.22,0.00
BrCu,Br,Cu,s2,19.74,0.10,0.11
BrAg,Br,Ag,s2,24.90,-0.33,0.69
BrAu,Br,Au,s2,24.28,0.21,0.00
ICu,I,Cu,s2,23.62,0.26,0.00
IAg,I,Ag,s2,29.16,-0.18,0.72
IAu,I,Au,s2,27.52,0.17,0.00
BeO,Be,O,s2,6.07,-2.30,8.16
BeS,Be,S,s2,12.40,-0.50,1.00
BeSe,Be,Se,s2,14.91,-0.25,0.05
BeTe,Be,Te,s2,19.27,0.15,0.00
MgO,Mg,O,s2,9.58,-2.74,4.49
MgS,Mg,S,s2,17.82,-1.43,2.75
MgSe,Mg,Se,s2,20.84,-1.23,1.75
MgTe,Mg,Te,s2,26.64,-0.81,0.43
CaO,Ca,O,s2,14.15,-2.98,3.64
CaS,Ca,S,s2,23.38,-2.16,2.38
CaSe,Ca,Se,s2,26.54,-2.03,2.08
CaTe,Ca,Te,s2,32.76,-1.65,1.56
SrO,Sr,O,s2,17.64,-2.75,3.29
SrS,Sr,S,s2,27.87,-2.15,2.50
SrSe,Sr,Se,s2,31.30,-2.07,2.23
SrTe,Sr,Te,s2,38.02,-1.75,1.77
BaO,Ba,O,s2,22.12,-2.50,2.10
BaS,Ba,S,s2,33.67,-2.08,2.16
BaSe,Ba,Se,s2,37.35,-2.05,1.95
BaTe,Ba,Te,s2,44.54,-1.79,1.60
SnO,Sn,O,s2,16.57,-0.88,1.01
SnS,Sn,S,s2,24.83,-0.41,0.54
SnSe,Sn,Se,s2,27.60,-0.44,0.52
SnTe,Sn,Te,s2,32.76,-0.29,0.04
PbO,Pb,O,s2,17.92,-0.99,0.54
PbS,Pb,S,s2,26.99,-0.55,0.48
PbSe,Pb,Se,s2,29.91,-0.57,0.42
PbTe,Pb,Te,s2,35.28,-0.41,0.83
OZn,O,Zn,s2,10.22,-1.23,0.69
OCd,O,Cd,s2,13.68,-1.05,0.00
OHg,O,Hg,s2,15.06,-0.14,0.00
SZn,S,Zn,s2,16.65,-0.41,0.00
SCd,S,Cd,s2,20.85,-0.52,0.25
SHg,S,Hg,s2,21.70,0.06,0.00
SeZn,Se,Zn,s2,19.38,-0.32,0.00
SeCd,Se,Cd,s2,23.72,-0.49,0.00
SeHg,Se,Hg,s2,24.50,-0.03,0.00
TeZn,Te,Zn,s2,24.14,-0.09,0.00
TeCd,Te,Cd,s2,28.81,-0.30,0.00
TeHg,Te,Hg,s2,29.17,0.01,0.00
BN,B,N,s2,5.37,-2.07,1.32
BP,B,P,s2,9.86,0.75,0.00
BAs,B,As,s2,12.51,0.97,0.00
BSb,B,Sb,s2,16.09,1.05,0.00
BBi,B,Bi,s2,18.74,1.25,0.00
AlN,Al,N,s2,8.43,-3.85,4.42
AlP,Al,P,s2,16.24,-0.33,0.00
AlAs,Al,As,s2,18.55,-0.20,0.00
AlSb,Al,Sb,s2,23.95,0.09,0.00
AlBi,Al,Bi,s2,27.02,0.25,0.00
GaN,Ga,N,s2,9.78,-2.67,0.52
GaP,Ga,P,s2,17.31,0.03,0.00
GaAs,Ga,As,s2,19.88,0.00,0.00
GaSb,Ga,Sb,s2,24.76,0.06,0.00
GaBi,Ga,Bi,s2,27.22,0.11,0.00
InN,In,N,s2,13.19,-2.35,0.00
InP,In,P,s2,21.44,0.05,0.00
InAs,In,As,s2,23.98,-0.02,0.00
InSb,In,Sb,s2,29.55,0.04,0.00
InBi,In,Bi,s2,31.89,0.07,0.00
TlN,Tl,N,s2,15.61,-1.46,0.00
TlP,Tl,P,s2,24.09,0.46,0.00
TlAs,Tl,As,s2,26.51,0.26,0.00
TlSb,Tl,Sb,s2,31.65,0.21,0.00
TlBi,Tl,Bi,s2,33.64,0.18,0.00
CSi,C,Si,s2,8.43,0.53,0.00
CGe,C,Ge,s2,10.47,1.30,0.00
CSn,C,Sn,s2,13.60,1.28,0.00
SiGe,Si,Ge,s2,18.41,0.40,0.00
SiSn,Si,Sn,s2,22.96,0.39,0.00
GeSn,Ge,Sn,s2,24.80,0.18,0.00
AlTi,Al,Ti,s2,18.45,0.29,0.00
CuMg,Cu,Mg,s2,18.58,0.46,0.00
NiMo,Ni,Mo,s2,14.69,0.95,0.00
AlSc,Al,Sc,s2,22.60,0.16,0.00
CdPb,Cd,Pb,s2,30.34,0.14,0.00
PdPt,Pd,Pt,s2,18.00,0.53,0.00
AgAu,Ag,Au,s2,20.88,0.22,0.00
SnSb,Sn,Sb,s2,29.42,-0.01,0.00
PtFe,Pt,Fe,s2,15.89,0.48,0.00
CuAg,Cu,Ag,s2,17.29,0.61,0.00
PbSb,Pb,Sb,s2,32.16,0.08,0.00
SnCd,Sn,Cd,s2,27.79,0.12,0.00
NaK,Na,K,s2,27.03,-1.90,4.10
LiF,Li,F,s3,10.33,-2.98,7.67
LiCl,Li,Cl,s3,21.02,-1.84,5.97
LiBr,Li,Br,s3,25.66,-1.58,4.94
LiI,Li,I,s3,33.55,-1.24,4.38
NaF,Na,F,s3,35.99,-1.47,4.20
NaCl,Na,Cl,s3,35.99,-1.45,4.20
NaBr,Na,Br,s3,35.99,-1.55,4.20
NaI,Na,I,s3,35.99,-1.61,4.20
KF,K,F,s3,44.47,-1.90,4.72
KCl,K,Cl,s3,44.47,-1.87,4.72
KBr,K,Br,s3,44.47,-1.97,4.72
KI,K,I,s3,44.47,-2.03,4.72
RbF,Rb,F,s3,51.26,-1.89,4.48
RbCl,Rb,Cl,s3,51.26,-1.86,4.48
RbBr,Rb,Br,s3,51.26,-1.97,4.48
RbI,Rb,I,s3,51.26,-2.02,4.48
CsF,Cs,F,s3,35.48,-2.59,4.60
CsCl,Cs,Cl,s3,59.63,-1.89,4.34
CsBr,Cs,Br,s3,68.65,-1.72,3.99
CsI,Cs,I,s3,83.35,-1.48,3.74
FCu,F,Cu,s3,14.62,-0.63,0.00
FAg,F,Ag,s3,20.34,-0.91,0.21
FAu,F,Au,s3,20.82,-0.09,0.00
ClCu,Cl,Cu,s3,20.10,-0.20,0.54
ClAg,Cl,Ag,s3,27.74,-0.45,1.30
ClAu,Cl,Au,s3,27.27,0.15,0.00
BrCu,Br,Cu,s3,23.48,-0.07,0.46
BrAg,Br,Ag,s3,31.21,-0.36,1.14
BrAu,Br,Au,s3,30.57,0.13,0.00
ICu,I,Cu,s3,28.30,0.03,1.14
IAg,I,Ag,s3,36.27,-0.28,1.37
IAu,I,Au,s3,34.64,0.06,0.00
BeO,Be,O,s3,7.05,-2.77,7.40
BeS,Be,S,s3,14.53,-1.05,4.11
BeSe,Be,Se,s3,17.43,-0.78,3.39
BeTe,Be,Te,s3,22.84,-0.34,2.31
MgO,Mg,O,s3,12.19,-2.67,3.42
MgS,Mg,S,s3,23.08,-1.42,3.44
MgSe,Mg,Se,s3,26.91,-1.25,2.59
MgTe,Mg,Te,s3,34.45,-0.87,2.37
CaO,Ca,O,s3,16.74,-2.91,3.12
CaS,Ca,S,s3,28.35,-2.04,2.91
CaSe,Ca,Se,s3,32.34,-1.91,2.54
CaTe,Ca,Te,s3,40.16,-1.53,2.07
SrO,Sr,O,s3,20.77,-2.69,2.60
SrS,Sr,S,s3,33.71,-2.03,2.80
SrSe,Sr,Se,s3,38.20,-1.94,2.34
SrTe,Sr,Te,s3,46.81,-1.62,2.26
BaO,Ba,O,s3,27.00,-2.47,2.18
BaS,Ba,S,s3,40.52,-1.98,2.61
BaSe,Ba,Se,s3,45.22,-1.94,2.39
BaTe,Ba,Te,s3,54.62,-1.67,2.00
SnO,Sn,O,s3,20.34,-0.91,1.44
SnS,Sn,S,s3,30.96,-0.32,1.46
SnSe,Sn,Se,s3,34.53,-0.35,1.31
SnTe,Sn,Te,s3,41.57,-0.17,0.87
PbO,Pb,O,s3,22.00,-1.01,2.02
PbS,Pb,S,s3,33.07,-0.47,1.92
PbSe,Pb,Se,s3,36.80,-0.50,1.69
PbTe,Pb,Te,s3,48.67,-0.26,1.46
OZn,O,Zn,s3,12.40,-1.37,0.71
OCd,O,Cd,s3,17.07,-1.04,0.00
OHg,O,Hg,s3,18.70,-0.18,0.00
SZn,S,Zn,s3,20.23,-0.72,2.08
SCd,S,Cd,s3,26.17,-0.65,1.09
SHg,S,Hg,s3,27.05,-0.12,0.00
SeZn,Se,Zn,s3,23.71,-0.62,1.18
SeCd,Se,Cd,s3,29.97,-0.63,0.52
SeHg,Se,Hg,s3,30.89,-0.19,0.00
TeZn,Te,Zn,s3,29.58,-0.38,1.10
TeCd,Te,Cd,s3,36.21,-0.47,0.62
TeHg,Te,Hg,s3,36.89,-0.15,0.00
BN,B,N,s3,5.97,-3.80,6.01
BP,B,P,s3,11.76,-0.39,1.33
BAs,B,As,s3,13.96,0.01,1.26
BSb,B,Sb,s3,18.35,0.39,0.92
BBi,B,Bi,s3,21.21,0.85,0.00
AlN,Al,N,s3,10.65,-4.02,4.03
AlP,Al,P,s3,20.86,-0.60,2.07
AlAs,Al,As,s3,23.55,-0.47,1.64
AlSb,Al,Sb,s3,30.38,-0.14,0.88
AlBi,Al,Bi,s3,33.62,0.11,0.00
GaN,Ga,N,s3,12.07,-3.07,1.62
GaP,Ga,P,s3,21.20,-0.38,1.23
GaAs,Ga,As,s3,23.96,-0.33,0.17
GaSb,Ga,Sb,s3,30.31,-0.14,0.00
GaBi,Ga,Bi,s3,33.70,0.04,0.00
InN,In,N,s3,16.57,-2.49,0.00
InP,In,P,s3,27.00,-0.19,0.45
InAs,In,As,s3,29.97,-0.22,0.00
InSb,In,Sb,s3,36.73,-0.10,0.00
InBi,In,Bi,s3,40.27,0.02,0.00
TlN,Tl,N,s3,19.37,-1.58,0.00
TlP,Tl,P,s3,30.21,0.33,0.00
TlAs,Tl,As,s3,33.29,0.19,0.00
TlSb,Tl,Sb,s3,40.01,0.19,0.00
TlBi,Tl,Bi,s3,43.26,0.23,0.00
CSi,C,Si,s3,10.53,-0.20,2.93
CGe,C,Ge,s3,12.40,0.49,2.40
CSn,C,Sn,s3,16.49,0.82,0.79
SiGe,Si,Ge,s3,22.12,0.07,0.30
SiSn,Si,Sn,s3,28.08,0.19,0.04
GeSn,Ge,Sn,s3,30.26,0.06,0.00
LiAl,Li,Al,s3,23.35,0.57,0.00
NiCo,Ni,Co,s3,14.49,1.34,0.00
AlSc,Al,Sc,s3,29.64,0.62,0.00
CuNi,Cu,Ni,s3,16.12,1.29,0.00
FeNi,Fe,Ni,s3,14.43,1.51,0.00
NiTi,Ni,Ti,s3,17.84,0.55,0.00
AlTi,Al,Ti,s3,23.85,0.84,0.00
AlNi,Al,Ni,s3,19.14,0.63,0.00
CuMg,Cu,Mg,s3,25.65,0.87,0.00
NiMg,Ni,Mg,s3,20.46,0.78,0.00
BeAl,Be,Al,s3,17.28,0.71,0.00
PbSn,Pb,Sn,s3,40.38,0.21,0.00
